忍冬,英格丽·威尼斯
娜仁图亚,娜仁图亚·卡普丹
W,W[5]维什戴尔Wiš'adel[6]
莱伊,莱叶菈莱伊
鸿雪,阿芙朵嘉·尼古拉耶芙娜·伊万诺娃Avdotya --- ---阿芙朵嘉·锐笔Avdotya Razorpen
菲亚梅塔,菲亚梅塔Fiammetta
远牙,查丝汀娜·瓦伦泰
灰烬,艾丽萨·科恩Eliza Cohen
空弦,席德佳
迷迭香,纳西莎迷迭香Rosmontis
早露,娜塔莉娅·安德烈耶维娜·罗斯托娃
能天使,蕾缪乐
水灯心,布莉吉
冰酿,安娜·米特朗海伦娜玛德琳
隐现,里凯莱·科伦波
熔泉,阿丽安罗特·布洛德韦德
四月,爱尔莉
送葬人,费德里科·吉亚洛--- Giallo
白金,欣特莱雅
跃跃,卡莉·兰德
铅踝,托特尔
松果,米娜
杰西卡,杰西卡·布林雷
空爆,阿莱塔
死芒,爱布拉娜·都柏林
玛露西尔,玛露西尔マルシル・ドナトー
逻各斯,哀珐尼尔Aefanyl
林,林雨霞
黑键,弗朗茨
澄闪,苏茜·格里特
异客,艾利奥特·格罗夫
夕,夕[3]
刻俄柏,刻俄柏Ceobe
艾雅法拉,阿黛尔·瑙曼Adele ---
特克诺,特克诺
阿罗玛,阿罗玛·里纳迪
折光,海因茨
戴菲恩,戴菲恩·温德米尔Delphine Windermere
寒檀,西蒙娜
和弦,洛西莉阿赫茉妮
至简,斯第奇·画布
星源,阿丝忒吉妮·乌比卡Astgenne ???埃琳娜·乌比卡
洛洛,罗谢尔·洛克威尔
薄绿,埃莉诺
特米米,特米米Tomimi
蜜蜡,安克赫娜
莱恩哈特,莱恩哈特Leonhardt
苦艾,卓娅
惊蛰,麟青砚
夜魔,瑞贝尔·帕斯贝莱蒂·葛罗莉亚
天火,艾塞尔芙蕾·尤利叶·蒙贝兰
远山,拉格娜
深靛,艾莉亚
流明,乔迪·方塔纳罗萨
Mon3tr,AMa-10[7]Mon3tr[8]
凯尔希,AMa-10[7]凯尔希[9]
夜莺,丽兹
闪灵,奎萨辛娜
录武官,云青萍
瑰盐,帕斯卡拉
莎草,阿娜特·艾尔-艾伊丁
哈洛德,哈洛德·克雷加文Harold Craigavon
刺玫,玛格达尔·肖
蜜莓,佐伊·伯里斯
桑葚,谷宁宁
亚叶,路易莎
微风,格蕾丝·亚利桑那
锡兰,锡兰·道尔科斯Ceylon ---
赫默,奥利维亚·赫默Olivia Silence
白面鸮,乔伊丝·摩尔Joyce Moore
调香师,莱娜
嘉维尔,嘉维尔Gavial
末药,阿德莱
遥,紫野遥羽生萌萌香[10]
电弧,塞拉菲娜·伊万诺夫娜·彼得罗娃
塑心,阿尔图罗·吉亚洛Arturia Giallo
白铁,费斯特
令,令[3]
灵知,诺希斯·埃德怀斯Gnosis Edelweiss
铃兰,丽萨Lisa
麦哲伦,薇恩塔·麦哲伦
安洁莉娜,安心院安洁莉娜Angelina Ajimu安心院アンジェリーナ
三角初华,三角初音三角初音三角初华三角初華[11]
行箸,宁茵
波卜,埃利西奥
凯瑟琳,凯瑟琳·弗莱彻
衡沙,拉恕尔
海霓,卢契拉
凛视,艾尔启
但书,黛丝特
掠风,甘特
海蒂,海蒂·汤姆森Heidi Thomson
真理,安娜·莫罗佐娃
初雪,恩雅·希瓦艾什Enya Silverash
梅尔,梅尔·斯托尼Mayer ---
罗比菈塔,罗比菈塔·贝克Roberta ---
地灵,格拉西艾尔·魏格妮
U-Official,尤里卡Eureka
弑君者,柳德米拉·伊里尼奇娜
艾拉,艾姿碧塔·博萨克Elzbieta Bosak
多萝西,多萝西·弗兰克斯Dorothy Franks
傀影,卢西恩
蒂比,蒂比·布克
钼铅,穆丽儿
裁度,卢奇诺·德蒙塔诺
双月,妮科·梅捷Nienke Meijer
杏仁,罗拉·阿里亚斯
空构,斯普莉雅
见行者,艾泽尔·帕斯托莱
绮良,云母
霜华,蒂娜Tina Lin Tsang
食铁兽,万笙笙
崖心,恩希亚·希瓦艾什--- Silverash
云迹,克劳迪娅
维荻,维荻
砾,塞诺蜜
碎骨,亚历克斯Alex米莎Misha[12]
塔露拉,塔露拉·雅特利亚斯Talulah Arutorias
霜星,叶莲娜Yelena
梅菲斯特,伊诺
浮士德,萨沙Sasha
爱国者,博卓卡斯替Buldrokkastee
鼠王,林舸瑞
克丽斯腾,克丽斯腾·莱特Kristen Wright
